5:4:2023 - 8h45min9secs = 13.761242866516113secs, mod=J1, level=1, winner=J1
5:4:2023 - 8h46min10secs = 34.70517826080322secs, mod=J1, level=2, winner=J1
5:4:2023 - 9h0min41secs = 28.894351959228516secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h1min36secs = 46.9406156539917secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h2min36secs = 55.022828578948975secs, mod=J1&J2, level=2, winner=J1
5:4:2023 - 9h2min57secs = 15.897133111953735secs, mod=J1&J2, level=3, winner=J2
5:4:2023 - 9h3min26secs = 20.89196753501892secs, mod=J1&J2, level=3, winner=J2
5:4:2023 - 9h4min52secs = 20.538211584091187secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h5min21secs = 20.6642107963562secs, mod=J1&J2, level=2, winner=J1
5:4:2023 - 9h8min27secs = 40.26742196083069secs, mod=J1, level=2, winner=J1
5:4:2023 - 9h9min45secs = 18.422348260879517secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h10min50secs = 10.478946447372437secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h12min28secs = 15.93092656135559secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h13min31secs = 14.328336954116821secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h15min11secs = 19.4343364238739secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h17min10secs = 106.32955861091614secs, mod=J1, level=3, winner=J1
5:4:2023 - 9h18min0secs = 44.269506216049194secs, mod=J1, level=2, winner=J1
5:4:2023 - 9h18min42secs = 37.47334384918213secs, mod=J1, level=2, winner=J1
5:4:2023 - 9h20min21secs = 22.47298550605774secs, mod=J1&J2, level=1, winner=J2
5:4:2023 - 9h20min41secs = 12.689396381378174secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h20min56secs = 11.388059139251709secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h36min39secs = 19.471123456954956secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h38min15secs = 1680680296.5113342secs, mod=J1&J2, level=1, winner=J2
5:4:2023 - 9h45min47secs = 11.92936396598816secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h46min51secs = 16.647268056869507secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h48min23secs = 12.045884847640991secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h48min52secs = 15.413974046707153secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h49min23secs = 27.424070835113525secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h49min34secs = 1680680975.4739642secs, mod=J1&J2, level=1, winner=J2
5:4:2023 - 9h50min14secs = 19.907567977905273secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h50min32secs = 15.38901972770691secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h51min1secs = 18.807174921035767secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h51min21secs = 16.361943244934082secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h51min49secs = 21.86469578742981secs, mod=J1, level=1, winner=J1
5:4:2023 - 9h52min43secs = 42.793023109436035secs, mod=J1&J2, level=2, winner=J1
5:4:2023 - 9h54min19secs = 33.417943477630615secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 9h55min35secs = 61.672523736953735secs, mod=J1&J2, level=2, winner=J1
5:4:2023 - 9h57min40secs = 112.9050624370575secs, mod=J1&J2, level=3, winner=J1
5:4:2023 - 9h59min23secs = 83.55969285964966secs, mod=J1&J2, level=1, winner=J1
5:4:2023 - 10h0min32secs = 60.94350028038025secs, mod=J1&J2, level=1, winner=J2
5:4:2023 - 10h2min5secs = 69.0683605670929secs, mod=J1&J2, level=2, winner=J2
5:4:2023 - 10h3min16secs = 46.5447723865509secs, mod=J1&J2, level=3, winner=J2
5:4:2023 - 18h16min8secs = 25.037151098251343secs, mod=J1, level=1, winner=J1
5:4:2023 - 18h27min56secs = 15.311017036437988secs, mod=J1, level=1, winner=J1
5:4:2023 - 18h29min8secs = 38.1704843044281secs, mod=J1, level=2, winner=J1
5:4:2023 - 18h32min47secs = 5.01400899887085secs, mod=J1&J2, level=1, winner=J2
5:4:2023 - 18h42min19secs = 6.065299034118652secs, mod=J1&J2, level=1, winner=J2
5:4:2023 - 9h46min42secs = 8.41253113746643secs, mod=J1, level=1, winner=J1
5:4:2023 - 23h20min11secs = 19.018532752990723secs, mod=J1, level=1, winner=J1
5:4:2023 - 23h20min32secs = 12.784092903137207secs, mod=J1, level=1, winner=J1
7:4:2023 - 17h44min56secs = 41.33012533187866secs, mod=J1, level=1, winner=J1
7:4:2023 - 17h46min0secs = 3.8196425437927246secs, mod=J1&J2, level=1, winner=J2
7:4:2023 - 17h48min0secs = 21.86243176460266secs, mod=J1, level=1, winner=J1
